Year,day,home_team_name,away_team_name
2018,1,Twins,Giants
2018,1,Marlins,Tigers
2018,1,Reds,Cardinals
2018,1,Yankees,Rays
2018,1,Astros,Diamondbacks
2018,1,Pirates,Padres
2018,1,Rockies,Cubs
2018,1,White Sox,Nationals
2018,1,Rangers,Dodgers
2018,1,Mets,Brewers
2018,1,Braves,Phillies
2018,1,Athletics,Orioles
2018,1,Indians,Blue Jays
2018,1,Red Sox,Mariners
2018,1,Angels,Royals
2018,2,Mariners,Phillies
2018,2,Rangers,Orioles
2018,2,White Sox,Astros
2018,2,Indians,Royals
2018,2,Angels,Marlins
2018,2,Tigers,Mets
2018,2,Reds,Yankees
2018,2,Athletics,Diamondbacks
2018,2,Nationals,Rays
2018,2,Red Sox,Pirates
2018,2,Braves,Brewers
2018,2,Giants,Blue Jays
2018,2,Dodgers,Padres
2018,2,Twins,Cubs
2018,2,Cardinals,Rockies
2018,3,Indians,Orioles
2018,3,Angels,Cardinals
2018,3,Nationals,Cubs
2018,3,Blue Jays,Rangers
2018,3,Diamondbacks,Reds
2018,3,White Sox,Royals
2018,3,Pirates,Brewers
2018,3,Mariners,Rays
2018,3,Athletics,Dodgers
2018,3,Astros,Red Sox
2018,3,Mets,Giants
2018,3,Marlins,Twins
2018,3,Tigers,Phillies
2018,3,Braves,Rockies
2018,3,Yankees,Padres
2018,4,Astros,Phillies
2018,4,Padres,Braves
2018,4,Brewers,Mariners
2018,4,Yankees,White Sox
2018,4,Mets,Indians
2018,4,Athletics,Nationals
2018,4,Rockies,Red Sox
2018,4,Orioles,Angels
2018,4,Diamondbacks,Pirates
2018,4,Royals,Tigers
2018,4,Marlins,Rangers
2018,4,Reds,Dodgers
2018,4,Cubs,Twins
2018,4,Blue Jays,Cardinals
2018,4,Giants,Rays
2018,5,Royals,Braves
2018,5,Diamondbacks,Dodgers
2018,5,Angels,White Sox
2018,5,Nationals,Yankees
2018,5,Twins,Athletics
2018,5,Mets,Mariners
2018,5,Indians,Cardinals
2018,5,Marlins,Cubs
2018,5,Red Sox,Phillies
2018,5,Reds,Pirates
2018,5,Rockies,Rangers
2018,5,Blue Jays,Astros
2018,5,Tigers,Rays
2018,5,Brewers,Orioles
2018,5,Giants,Padres
2018,6,Giants,Rockies
2018,6,Brewers,Cardinals
2018,6,Marlins,Yankees
2018,6,Athletics,Astros
2018,6,Phillies,Reds
2018,6,Diamondbacks,Mets
2018,6,Orioles,Indians
2018,6,Pirates,Padres
2018,6,White Sox,Rays
2018,6,Dodgers,Braves
2018,6,Twins,Rangers
2018,6,Cubs,Tigers
2018,6,Red Sox,Nationals
2018,6,Angels,Royals
2018,6,Blue Jays,Mariners
2018,7,Reds,Cubs
2018,7,Marlins,Rockies
2018,7,Athletics,Blue Jays
2018,7,Yankees,Brewers
2018,7,Phillies,Rangers
2018,7,Pirates,Indians
2018,7,Padres,Orioles
2018,7,Braves,White Sox
2018,7,Astros,Mets
2018,7,Royals,Mariners
2018,7,Tigers,Giants
2018,7,Diamondbacks,Cardinals
2018,7,Red Sox,Angels
2018,7,Rays,Dodgers
2018,7,Nationals,Twins
2018,8,Phillies,Athletics
