Team,Year,Wins,Losses
Arizona Diamondbacks,2014,59,103
Atlanta Braves,2014,60,102
Baltimore Orioles,2014,110,52
Boston Red Sox,2014,80,82
Chicago Cubs,2014,85,77
Chicago White Sox,2014,63,99
Cincinnati Reds,2014,67,95
Cleveland Indians,2014,63,99
Colorado Rockies,2014,110,52
Detroit Tigers,2014,102,60
Houston Astros,2014,77,85
Kansas City Royals,2014,60,102
Los Angeles Angels,2014,78,84
Los Angeles Dodgers,2014,89,73
Miami Marlins,2014,99,63
Milwaukee Brewers,2014,70,92
Minnesota Twins,2014,56,106
New York Mets,2014,72,90
New York Yankees,2014,87,75
Oakland Athletics,2014,89,73
Philadelphia Phillies,2014,79,83
Pittsburgh Pirates,2014,105,57
San Diego Padres,2014,62,100
San Francisco Giants,2014,91,71
Seattle Mariners,2014,100,62
St. Louis Cardinals,2014,60,102
Tampa Bay Rays,2014,70,92
Texas Rangers,2014,86,76
Toronto Blue Jays,2014,112,50
Washington Nationals,2014,89,73
Arizona Diamondbacks,2015,71,91
Atlanta Braves,2015,58,104
Baltimore Orioles,2015,95,67
Boston Red Sox,2015,89,73
Chicago Cubs,2015,85,77
Chicago White Sox,2015,59,103
Cincinnati Reds,2015,66,96
Cleveland Indians,2015,81,81
Colorado Rockies,2015,107,55
Detroit Tigers,2015,59,103
Houston Astros,2015,69,93
Kansas City Royals,2015,48,114
Los Angeles Angels,2015,87,75
Los Angeles Dodgers,2015,83,79
Miami Marlins,2015,97,65
Milwaukee Brewers,2015,79,83
Minnesota Twins,2015,66,96
New York Mets,2015,62,100
New York Yankees,2015,96,66
Oakland Athletics,2015,91,71
Philadelphia Phillies,2015,80,82
Pittsburgh Pirates,2015,98,64
San Diego Padres,2015,74,88
San Francisco Giants,2015,97,65
Seattle Mariners,2015,97,65
St. Louis Cardinals,2015,65,97
Tampa Bay Rays,2015,68,94
Texas Rangers,2015,94,68
Toronto Blue Jays,2015,109,53
Washington Nationals,2015,100,62
Arizona Diamondbacks,2016,60,102
Atlanta Braves,2016,43,119
Baltimore Orioles,2016,103,59
Boston Red Sox,2016,90,72
Chicago Cubs,2016,84,78
Chicago White Sox,2016,69,93
Cincinnati Reds,2016,73,89
Cleveland Indians,2016,67,95
Colorado Rockies,2016,108,54
Detroit Tigers,2016,60,102
Houston Astros,2016,78,84
Kansas City Royals,2016,78,84
Los Angeles Angels,2016,85,77
